XRP,BTC
0.32126203,4076.9746
0.32196388,4085.5247
0.32301176,4083.9932
0.32278115,4081.6794
0.32205209999999995,4078.8904
0.32193676,4067.4905
0.32164353,4061.5818
0.32232523,4070.8345
0.32073063,4068.1377
0.32057184,4065.2065
0.31965315,4054.06
0.32053396,4054.2952
